frame,start,end,duration,voiceover_exact,motion
001,0.0,48.56,48.56,في مدينة البندقية، في القرن السادس عشر، خرج من مطبعة إيطالية كتاب لم يكن من المفترض أن يختفي بهذه السهولة: نسخة كاملة من القرآن الكريم، مطبوعة بالحروف العربية، بتقنية الحروف المتحركة التي غيّرت أوروبا. ثم حدث أمر غريب. اختفت هذه الطبعة بأكملها تقريباً من التاريخ. لم يرَ الباحثون نسخة واحدة منها لأكثر من أربعة قرون. كيف يختفي كتاب كامل، بعد أن طُبع منه مئات النسخ؟ هذه ليست أسطورة من كتب المغامرات. هذه قصة موثقة، ولا يزال جزء كبير منها لغزاً حتى اليوم.,wide->push_in->pan_detail (3-stage)
002,48.56,72.85,24.28,لنبدأ من البداية. في العقود الأولى بعد اختراع يوهانس غوتنبرغ للطباعة بالحروف المتحركة، تحولت مدينة البندقية إلى أكبر مركز طباعة في أوروبا كلها. مئات المطابع، وآلاف العناوين، وسوق تجارية ضخمة تصدّر الكتب إلى كل ركن من أركان القارة، وإلى ما وراءها.,wide->push_in->pan_detail (3-stage)
003,72.85,105.42,32.57,البندقية لم تكن مدينة أوروبية مغلقة على نفسها. كانت جمهورية تجارية، ترتبط بعلاقات تجارية وثيقة مع الدولة العثمانية، أكبر قوة إسلامية في ذلك العصر. السفن البندقية كانت ترسو في موانئ إسطنبول والإسكندرية، والتجار كانوا يعرفون أن هناك سوقاً محتملة لم يجرؤ أحد على الدخول إليها بجدية: طباعة كتاب ديني إسلامي كامل، بالعربية، لبيعه لقراء مسلمين.,wide->push_in->pan_detail (3-stage)
004,105.42,130.89,25.47,هنا يظهر اسم الطابع بَاغانينو باغانيني. رجل عمل في هذه الصناعة الوليدة عقوداً طويلة، واشتهر بطباعة أعمال علمية دقيقة، من بينها كتب الرياضي الشهير لوكا باتشولي. في أواخر حياته، بالاشتراك مع ابنه أليساندرو باغانيني، قرر باغانيني مشروعاً غير مسبوق: طباعة القرآن كاملاً بالعربية.,wide->push_in->pan_detail (3-stage)
005,130.89,153.98,23.1,لم يكن هذا مجرد كتاب آخر يُضاف إلى قوائم مطبعته. كان مقامرة تقنية وتجارية بمعنى الكلمة. فالخط العربي، بحروفه المتصلة التي تتغير أشكالها بحسب موقعها في الكلمة، لم يكن يشبه إطلاقاً الأبجدية اللاتينية التي صُممت من أجلها آلة غوتنبرغ.,wide->push_in->pan_detail (3-stage)
006,153.98,183.75,29.77,في الأبجدية اللاتينية، كل حرف كتلة معدنية واحدة، منفصلة، ثابتة الشكل. أما في العربية، فالحرف الواحد قد يأخذ حتى أربعة أشكال مختلفة: شكل في أول الكلمة، وشكل في وسطها، وشكل في آخرها، وشكل إذا وقف منفرداً. وهذه الأشكال يجب أن تتصل ببعضها بصرياً وكأنها خط يد واحد متدفق.,wide->push_in->pan_detail (3-stage)
007,183.75,214.14,30.39,لتحقيق ذلك، كان على صانعي الحروف أن يصمموا مئات القوالب المعدنية المختلفة، بدل الستة والعشرين قالباً التي تكفي للاتينية. كل قالب يجب أن يُصَبّ بدقة، ثم يُركَّب يدوياً، سطراً سطراً، بحيث تبدو الحروف المنفصلة متصلة على الصفحة. أي خطأ بسيط في المحاذاة، وتتكسر انسيابية الخط العربي أمام عين القارئ.,wide->push_in->pan_detail (3-stage)
008,214.14,250.11,35.97,هذا وحده كان يكفي ليجعل أي طابع أوروبي يتردد. لكن في القرآن، هناك عامل إضافي لا يوجد في أي كتاب آخر: القداسة المطلقة للنص. عند المسلمين، دقة كل كلمة وكل حركة إعرابية في القرآن ليست تفصيلاً شكلياً، بل جوهر النص ذاته. طابع يعمل بلغة ليست لغته الأم، يخاطر بارتكاب أخطاء قد تجعل الكتاب مرفوضاً تماماً من جمهوره المفترض.,wide->push_in->pan_detail (3-stage)
009,250.11,277.39,27.29,ورغم كل هذه العقبات، أنجز باغانينو وأليساندرو باغانيني المشروع. وفقاً للسجلات الببليوغرافية المتوفرة، طُبعت هذه النسخة في الفترة الممتدة تقريباً بين صيف عام 1537 وصيف عام 1538. لأول مرة في التاريخ، خرج من مطبعة أوروبية قرآن كامل بالعربية، بتقنية الحروف المتحركة، جاهز نظرياً للتوزيع.,wide->push_in->pan_detail (3-stage)
010,277.39,300.68,23.29,لكن حين فحص الباحثون لاحقاً النسخة الوحيدة التي بقيت من هذه الطبعة، اكتشفوا مشكلة خطيرة. النص مليء بالأخطاء. أخطاء في رسم الكلمات، وأخطاء في وضع النقاط والحركات، إلى درجة أن الباحثين وصفوا الأمر بأنه يصعب العثور على صفحة واحدة سليمة تماماً من الأخطاء الطباعية.,wide->push_in->pan_detail (3-stage)
