frame,arabic_voiceover_exact,english_voiceover_exact,historical_status,core_visual_claim,required_visible_elements,forbidden_generic_substitutes,recurring_character_id,image_prompt,source_reference
001,ما هو أكبر منافس لحليب الأطفال الصناعي؟ ليس علامة تجارية أخرى.,What's infant formula's biggest competitor? Not another brand.,REASONABLE INFERENCE,Two competing feeding options are being compared: a corporate product vs. the human body,"on left: a generic pastel formula tin on a small pedestal; on right: a simple stylised silhouette of a mother's breast/torso shape on an equal pedestal; both lit and framed identically, a faint VS gap between them",no generic baby bottle alone; no unrelated corporate boardroom imagery,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Split-composition scene: left pedestal holds a plain formula tin; right pedestal holds a simple rounded silhouette shape representing a mother's body/breastfeeding, identical staging, symmetrical, competitive 'facing off' framing, empty neutral background.",REASONABLE INFERENCE (frames the video's thesis)
002,إنّه حليب الأمّ نفسه؛ منتَجٌ لا تصنعه أيّ شركة، ولا تملك حقوقه، ولا تبيعه.,"It's breast milk itself — a product no company manufactures, patents, or sells.",REASONABLE INFERENCE,"Breast milk is produced by the body, not by any company or factory","a simple rounded maternal torso silhouette with a soft glowing drop/circle icon above it suggesting milk, no factory or company imagery anywhere near it","no factory, no assembly line, no company building",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Single centered image: a simple, modest, non-explicit rounded silhouette of a mother's upper body with one small soft glowing drop-shaped icon floating above representing milk, calm warm pastel lighting, nothing industrial nearby.",REASONABLE INFERENCE
003,كلّ شركة تحتاج إلى زبائن يدفعون. وجسدٌ يُطعم طفلاً مجاناً لا يصنع زبوناً واحداً.,Every business needs paying customers. A body that feeds a baby for free generates none.,REASONABLE INFERENCE,Business economics: paying customers vs a free biological process,"on one side a small simple coin or banknote icon passing between two simple generic figures (customer paying shopkeeper); on the other side the same maternal silhouette with the milk-drop icon, no money icon near it","no cash register close-up, no supermarket clutter",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Two-panel simple comparison: left panel shows a small simple coin icon moving from one generic rounded figure to another (a purchase); right panel shows the maternal silhouette with the drop icon and no coin nearby at all, plain background, clean geometric divider line between panels.",REASONABLE INFERENCE
004,هذه قصة كيف حاولت واحدة من أكبر شركات الأغذية في العالم أن تُنافس شيئاً لا يحتاج أحدٌ إلى شرائه، وكيف تحوّلت هذه المنافسة إلى فضيحة عالمية.,This is the story of how one of the world's biggest food companies tried to out-compete something no one has to buy — and how that competition became a global scandal.,REASONABLE INFERENCE,Establishing shot introducing the documentary's global historical scope,"a simple stylised world map/globe outline in flat pastel colors with a few small generic factory-building icons dotted on different continents, formula tin icon subtly present near one building, no text or country names","no real flags, no real corporate logos, no readable map labels",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Wide establishing image: simple flat pastel world globe/map illustration, a few small generic building icons scattered across different continents, one small blank formula tin icon near a building, clean minimal geographic shapes, no borders labeled, no text.",REASONABLE INFERENCE
005,تخيّلي أمّاً نسمّيها مريم. وضعت طفلها للتوّ. هي منهَكة، وتنوي إرضاعه طبيعياً.,"Picture a mother we'll call Maryam. She has just given birth. She's exhausted, and she intends to breastfeed.",COMPOSITE CHARACTER,"Introduce Maryam, exhausted new mother in a hospital bed intending to breastfeed","recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance lying propped up in a simple hospital bed, holding Maryam's newborn infant: very small baby, plain cream/off-white swaddle blanket, minimal facial detail, consistently tiny size across frames close to her chest in a breastfeeding position, tired gentle expression, simple hospital room with one window and one plain chair","no generic stock-photo-style mother, no unrelated nurse present yet",maryam,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance. Maryam's newborn infant: very small baby, plain cream/off-white swaddle blanket, minimal facial detail, consistently tiny size across frames. Interior hospital room, simple flat furniture: one bed, one small window, one plain chair. Maryam reclines tiredly in bed holding her newborn against her chest in a breastfeeding position. Warm soft muted color palette, calm quiet mood.",COMPOSITE CHARACTER (documented practices/experiences of the period)
006,في جناح الولادة، تشعر بعدم اليقين. حليبها لم يدرّ بعد بشكل كافٍ، والطفل يبكي.,"In the maternity ward, she's uncertain. Her milk hasn't fully come in yet. The baby is crying.",COMPOSITE CHARACTER,Maryam's uncertainty and the baby's distress in the same hospital setting,"recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance sitting up in bed with a worried/uncertain facial expression, small simple motion lines near baby's face to suggest crying, same hospital room as previous frame for continuity",no bottle or formula tin visible yet in this frame,maryam,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance. Maryam's newborn infant: very small baby, plain cream/off-white swaddle blanket, minimal facial detail, consistently tiny size across frames with small simple motion lines near its face suggesting crying. Same hospital room setting as prior frame for visual continuity. Maryam's expression shows tiredness and uncertainty, hand gently near the baby, soft dim evening lighting through the window.",COMPOSITE CHARACTER
007,تقترب منها امرأة بزيٍّ أبيض أنيق. تبدو من طاقم المستشفى. لكنّها ليست كذلك.,A woman in a crisp white uniform approaches. She looks like hospital staff. She isn't.,DOCUMENTED MARKETING PRACTICE,"The formula representative enters the room, appearing to be medical staff","recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in standing in the doorway of the same hospital room, calm professional posture, recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance looking up toward her from the bed",no visible product/tin yet in this exact frame; no explicit nurse badge or ID card,"maryam,promoter","minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in. recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance visible on the bed in the background, looking toward the doorway. Same hospital room continuity. The representative stands confidently in the doorway, framed to look authoritative and official despite no visible identification.",DOCUMENTED MARKETING PRACTICE (sales reps presenting with medical-style authority)
008,إنّها مندوبة مبيعات؛ ففي الستينيات والسبعينيات، وظّفت بعض شركات الحليب الصناعي بائعاتٍ يرتدين زياً شبيهاً بزيّ المُمرِّضات ويتصرّفن مثلهنّ.,"She's a company representative — in the 1960s and 70s, some infant-formula makers hired saleswomen who dressed and acted like nurses.",DOCUMENTED MARKETING PRACTICE,Explain the historical 'milk nurse' marketing practice directly,"close medium shot of recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in alone against a plain background, holding a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging at her side, confident reassuring posture, no hospital room details needed here to isolate the concept",no real nurse uniform with medical cross/red-cross symbol; no actual medical badge text,promoter,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in, shown from waist up, holding a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging at her side with one hand, calm reassuring smile, plain light-gray background to isolate her as the documentary's explanatory subject for this concept.",DOCUMENTED MARKETING PRACTICE — historically reported 'milk nurse' sales representatives
009,تُقدِّم لمريم عُلبة حليب. مظهرها حديث، نظيف، شبه طبّي؛ تماماً كما يريد الإرهاق أن يثق.,"She hands Maryam a tin. It looks modern, clinical, scientific — everything exhaustion makes you want to trust.",COMPOSITE CHARACTER,The handoff moment: representative gives Maryam the formula tin at the bedside,"recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in leaning toward the bed handing a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging to recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance who reaches up to receive it, Maryam's newborn infant: very small baby, plain cream/off-white swaddle blanket, minimal facial detail, consistently tiny size across frames still in Maryam's other arm, same hospital room",no money or payment gesture in this frame — must read as a free gift,"maryam,promoter","minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in bends toward the hospital bed, extending a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging with both hands toward recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance, who reaches out with one hand to accept it while holding Maryam's newborn infant: very small baby, plain cream/off-white swaddle blanket, minimal facial detail, consistently tiny size across frames in her other arm. Warm bright clinical lighting emphasizes the tin as modern and clean.",COMPOSITE CHARACTER / DOCUMENTED PRACTICE (hospital sample distribution)
010,"العُلبة مجانية. ""جرّبيها فقط""، تقول لها.","It's free. Just try it, she says.",DOCUMENTED MARKETING PRACTICE,"Emphasize the sample is free — a gift, not a sale","close-up on a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging now in recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance's hands, a small simple gift-ribbon icon or sparkle icon near the tin to visually signal 'free gift', recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in's hand gesturing reassuringly nearby","no price tag, no cash register, no visible payment of any kind","maryam,promoter","minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Close-up composition centered on a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging held in recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance's hands, with a small simple sparkle or gift-ribbon icon beside it signaling it is a free gift, recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in's hand gesturing warmly just at the edge of frame.",DOCUMENTED MARKETING PRACTICE (free sample distribution)
