frame,start,end,duration,voiceover_exact,motion_type,focus_target
001,0.000,6.657,6.657,ما هو أكبر منافس لحليب الأطفال الصناعي؟ ليس علامة تجارية أخرى.,slow-zoom-in,on left: a generic pastel formula tin on a small pedestal; on right: a simple st
002,6.657,15.129,8.472,إنّه حليب الأمّ نفسه؛ منتَجٌ لا تصنعه أيّ شركة، ولا تملك حقوقه، ولا تبيعه.,slow-zoom-in,a simple rounded maternal torso silhouette with a soft glowing drop/circle icon 
003,15.129,23.602,8.472,كلّ شركة تحتاج إلى زبائن يدفعون. وجسدٌ يُطعم طفلاً مجاناً لا يصنع زبوناً واحداً.,pan-left-to-right,on one side a small simple coin or banknote icon passing between two simple gene
004,23.602,39.336,15.734,هذه قصة كيف حاولت واحدة من أكبر شركات الأغذية في العالم أن تُنافس شيئاً لا يحتاج أحدٌ إلى شرائه، وكيف تحوّلت هذه المنافسة إلى فضيحة عالمية.,slow-zoom-out,a simple stylised world map/globe outline in flat pastel colors with a few small
005,39.336,46.272,6.936,تخيّلي أمّاً نسمّيها مريم. وضعت طفلها للتوّ. هي منهَكة، وتنوي إرضاعه طبيعياً.,slow-zoom-in,"recurring character Maryam: young adult mother, round simple face, medium warm o"
006,46.272,54.364,8.092,في جناح الولادة، تشعر بعدم اليقين. حليبها لم يدرّ بعد بشكل كافٍ، والطفل يبكي.,slow-zoom-in,"recurring character Maryam: young adult mother, round simple face, medium warm o"
007,54.364,61.877,7.514,تقترب منها امرأة بزيٍّ أبيض أنيق. تبدو من طاقم المستشفى. لكنّها ليست كذلك.,slow-zoom-in,"recurring character formula-company representative: adult woman, crisp white cli"
008,61.877,72.859,10.982,إنّها مندوبة مبيعات؛ ففي الستينيات والسبعينيات، وظّفت بعض شركات الحليب الصناعي بائعاتٍ يرتدين زياً شبيهاً بزيّ المُمرِّضات ويتصرّفن مثلهنّ.,slow-zoom-in,close medium shot of recurring character formula-company representative: adult w
009,72.859,81.529,8.670,تُقدِّم لمريم عُلبة حليب. مظهرها حديث، نظيف، شبه طبّي؛ تماماً كما يريد الإرهاق أن يثق.,slow-zoom-in,"recurring character formula-company representative: adult woman, crisp white cli"
010,81.529,84.997,3.468,"العُلبة مجانية. ""جرّبيها فقط""، تقول لها.",slow-zoom-in,close-up on a plain generic infant-formula tin: pastel cream or light-blue cylin
