frame,start,end,duration,voiceover_exact,motion_type,focus_target
001,0.000,3.465,3.465,What's infant formula's biggest competitor? Not another brand.,slow-zoom-in,on left: a generic pastel formula tin on a small pedestal; on right: a simple st
002,3.465,9.095,5.630,"It's breast milk itself — a product no company manufactures, patents, or sells.",slow-zoom-in,a simple rounded maternal torso silhouette with a soft glowing drop/circle icon 
003,9.095,15.591,6.496,Every business needs paying customers. A body that feeds a baby for free generates none.,pan-left-to-right,on one side a small simple coin or banknote icon passing between two simple gene
004,15.591,29.016,13.425,This is the story of how one of the world's biggest food companies tried to out-compete something no one has to buy — and how that competition became a global scandal.,slow-zoom-out,a simple stylised world map/globe outline in flat pastel colors with a few small
005,29.016,37.224,8.208,"Picture a mother we'll call Maryam. She has just given birth. She's exhausted, and she intends to breastfeed.",slow-zoom-in,"recurring character Maryam: young adult mother, round simple face, medium warm o"
006,37.224,44.976,7.752,"In the maternity ward, she's uncertain. Her milk hasn't fully come in yet. The baby is crying.",slow-zoom-in,"recurring character Maryam: young adult mother, round simple face, medium warm o"
007,44.976,51.816,6.840,A woman in a crisp white uniform approaches. She looks like hospital staff. She isn't.,slow-zoom-in,"recurring character formula-company representative: adult woman, crisp white cli"
008,51.816,61.392,9.576,"She's a company representative — in the 1960s and 70s, some infant-formula makers hired saleswomen who dressed and acted like nurses.",slow-zoom-in,close medium shot of recurring character formula-company representative: adult w
009,61.392,69.600,8.208,"She hands Maryam a tin. It looks modern, clinical, scientific — everything exhaustion makes you want to trust.",slow-zoom-in,"recurring character formula-company representative: adult woman, crisp white cli"
010,69.600,72.792,3.192,"It's free. Just try it, she says.",slow-zoom-in,close-up on a plain generic infant-formula tin: pastel cream or light-blue cylin
011,72.792,79.176,6.384,"The baby takes the bottle easily. Over the next days, Maryam breastfeeds less often.",pan-left-to-right,a simple three-panel row showing the same room at three moments: panel 1 baby wi
012,79.176,90.120,10.944,Here's what her body doesn't know yet: less suckling means less stimulation — and stimulation is what tells a body to keep making milk.,slow-zoom-in-hold,a simple educational diagram: the maternal torso silhouette on one side connecte
013,90.120,96.960,6.840,A few weeks pass. The free tin is empty. Maryam's own supply has quietly dropped.,slow-zoom-in-hold,"recurring character Maryam: young adult mother, round simple face, medium warm o"
014,96.960,105.624,8.664,Now formula isn't a gift. It's a weekly purchase. Free had become a habit. Habit had become a bill.,slow-zoom-out,"recurring character Maryam: young adult mother, round simple face, medium warm o"
015,105.624,118.502,12.878,"Maryam isn't a documented historical figure — she's a composite, built from marketing practices and mothers' experiences researchers recorded during this period. And her story was far from unique.",slow-zoom-out,a simple grid of many small identical window/room outlines (like a large apartme
016,118.502,130.936,12.434,"Through the 1960s and 70s, formula companies expanded aggressively into Asia, Africa, and Latin America, where birth rates were high and breastfeeding had for generations been nearly universal.",slow-zoom-out,"simple flat pastel world map/globe with three regions (roughly Asia, Africa, Lat"
017,130.936,140.262,9.326,"Hospitals and maternity wards became a marketing channel: free tins for new mothers, gift packs, and close relationships with health staff.",slow-zoom-in,a simple hospital ward interior with several generic beds (not Maryam specifical
018,140.262,148.699,8.437,"The uniformed saleswomen — sometimes called ""milk nurses"" in the press — were a documented practice, not a rumor.",pan-left-to-right,"a row of three to four identical  adult woman, crisp white clinical-style unifor"
019,148.699,167.350,18.651,"Advertising leaned on imagery of modernity and science, sometimes implying formula was equal or superior to breast milk. Some of the earliest public scrutiny of these tactics appeared a year before ""The Baby Killer,"" in 1973, in the British magazine New Internationalist.",slow-zoom-in,a simple flat illustrated poster/frame-within-frame showing a generic formula ti
020,167.350,176.232,8.882,"It worked because it targeted mothers at their most exhausted and uncertain moment, wrapped in the authority of a hospital.",slow-zoom-in,a generic simple tired mother-with-infant silhouette centered inside a large sof
021,176.232,181.800,5.568,Here's the biology behind why this mattered. Breast milk runs on supply and demand.,slow-zoom-in,a simple flat balance-scale icon with a baby-suckling icon on one side and a mil
022,181.800,187.766,5.966,"A baby's suckling triggers hormones that tell the body: make more, for the next feed.",slow-zoom-in,a simple close diagram: a baby-suckling icon connected via a curved arrow to a s
023,187.766,194.527,6.761,"Replace several feeds a day with a bottle, and that signal weakens. Over time, supply can fall.",slow-zoom-in-hold,the same loop diagram as frame 22 but now a bottle icon is shown replacing the b
024,194.527,203.277,8.750,This doesn't mean one bottle ruins breastfeeding. It means repeated supplementation can make going back to full breastfeeding harder for some mothers.,pan-left-to-right,on the left a single small bottle icon with a simple checkmark-style neutral ico
025,203.277,212.026,8.750,And that's the trap: a free sample can run out in days. The drop in a mother's own supply can outlast it.,slow-zoom-in-hold,"two horizontal simple bar/timeline icons stacked, top bar short and colored to r"
026,212.026,220.776,8.750,"Free milk in, less of her own milk left — a cycle that quietly turns a free product into a recurring need.",slow-zoom-in-hold,a simple circular cycle diagram with three or four icons arranged in a loop conn
027,220.776,228.116,7.340,"Because formula doesn't stay free. Once the sample is gone, someone has to buy the next tin.",slow-zoom-in,"a generic parent silhouette (not Maryam, to signal this is now about families br"
028,228.116,235.888,7.772,"In wealthier households, that's a manageable expense. In poorer ones, it competes directly with the family's food budget.",slow-zoom-in,two simple house-shaped outlines side by side; left house has a simple pie-chart
029,235.888,245.819,9.931,Documented reports from the period describe families stretching a tin further than intended — using less powder per bottle to make it last.,slow-zoom-in,a generic parent figure using a small scoop to add powder into a bottle already 
030,245.819,255.318,9.499,"Diluted formula means diluted nutrition. A baby can look fed — full stomach, apparent calm — while quietly being underfed for weeks.",slow-zoom-in-hold,"a small simple infant figure with a neutral/content expression lying in a crib, "
031,255.318,262.658,7.340,"Not every family did this. But where money was tight, it was a real and recorded risk.",pan-left-to-right,"a row of four to five simple house icons; most show a normal bottle icon inside,"
032,262.658,269.999,7.340,"There's a second trap, separate from money: preparation. Breast milk needs no water, no bottle, no sterilizing.",slow-zoom-in-hold,"the maternal torso silhouette icon in the center, with three small simple icons "
033,269.999,273.885,3.886,"Formula needs all three, done correctly, every single time.",slow-zoom-in-hold,a plain generic infant-formula tin: pastel cream or light-blue cylindrical conta
034,273.885,282.520,8.636,"Picture the same tin of powder in two homes. In one: a clean tap, a clean bottle, an accurate scoop.",slow-zoom-in,"a simple flat kitchen interior (House A) with a clean modern tap/faucet icon, a "
035,282.520,289.429,6.908,"In the other: a water source that isn't safe, and no easy way to sterilize anything.",slow-zoom-in,a simple flat home interior (House B) with a cloudy/murky water container or a s
036,289.429,297.632,8.204,"Unsafe water turns formula preparation into a route for bacteria — and for infants, that often means diarrheal disease.",slow-zoom-in,a close-up of a bottle being filled from the murky water source with a few small
037,297.632,314.040,16.408,"The product in both homes was identical. The environment around it decided how dangerous it was. Public-health researchers would later estimate that this gap in water and sanitation, not the powder itself, was the strongest predictor of harm.",pan-left-to-right,"split-screen composition, House A (frame 34 content) on the left in bright clean"
038,314.040,321.664,7.624,"By the early 1970s, journalists and health advocates were asking hard questions about formula marketing in poorer countries.",slow-zoom-in,a generic simple journalist/investigator figure standing before a small corkboar
039,321.664,329.711,8.047,"In 1974, the British charity War on Want published an investigation by Mike Muller. Its title: ""The Baby Killer.""",slow-zoom-out,a generic simple investigator figure holding up a small booklet/pamphlet-shaped 
040,329.711,338.606,8.894,"That was the title of a campaigning report, not a medical verdict — but its evidence on marketing practices was damning.",slow-zoom-in,two small icons side by side for contrast: a megaphone icon (campaigning/activis
041,338.606,343.688,5.083,"A Swiss edition of the pamphlet was retitled, bluntly, ""Nestlé Kills Babies.""",slow-zoom-in,a small simple pamphlet-shaped object similar to frame 39 but with a starker pla
042,343.688,352.583,8.894,The report and the reaction to it pulled the industry's biggest player into a public reckoning it had never faced before.,slow-zoom-in,"one large simple generic corporate office-building silhouette in the center, sur"
043,352.583,361.054,8.471,"The company sued for libel over that title — and won, on the narrow legal question of the words themselves.",slow-zoom-in,"a simple flat courtroom setting with a small judge's bench and gavel icon, two s"
044,361.054,372.490,11.436,"But the presiding judge added a warning: if the company didn't want to be accused of causing death and illness, it should change how it did business.",slow-zoom-in,a simple judge figure behind the bench making a raised-finger cautionary gesture
045,372.490,381.384,8.894,"The company disputed responsibility for outcomes tied to water and sanitation it didn't control, while saying reforms were already under way.",slow-zoom-in,"a generic spokesperson figure at a simple podium with a microphone icon, one han"
046,381.384,388.422,7.038,"In 1977, a small U.S. campaign called INFACT launched a consumer boycott of the company's products.",slow-zoom-in,a small group of three to four generic activist figures standing outside a simpl
047,388.422,396.339,7.917,"It spread from one city to a national campaign, then crossed into Canada, the U.K., Australia, and beyond.",slow-zoom-out,a simple flat world map/globe with one small highlighted starting point and seve
048,396.339,407.775,11.436,"It became one of the longest-running consumer boycotts ever aimed at a single multinational corporation, eventually active in dozens of countries and lasting into the 1980s.",slow-zoom-in,"a large dense crowd of generic simple activist figures (more than in frame 46), "
049,407.775,416.132,8.357,"In 1978, the U.S. Senate held hearings, pressing the company's own representative on its marketing in the developing world.",slow-zoom-in,a formal simple government hearing room: a raised long desk with three to four g
050,416.132,427.128,10.996,The question at the center of it all: should a product that requires clean water and steady income be marketed aggressively where neither is guaranteed?,slow-zoom-in,a central generic formula tin with a large simple question-mark shape floating a
