frame,voiceover_exact,core_visual_claim,required_visible_elements,forbidden_generic_substitutes,image_prompt,historical_source
001,في مدينة البندقية، في القرن السادس عشر... اختفت هذه الطبعة بأكملها تقريباً من التاريخ.,The impossible-sounding mystery: a full printed Qur'an edition vanished from history for centuries.,"a printed Arabic book on a Renaissance printing shop table, half in light half fading into darkness/mist, Venice skyline with campanili faintly visible through a window",generic worried man; generic Venice postcard shot with no book,"Wide cinematic shot inside a dim 16th-century Venetian print shop at dusk: on the central table lies a bound Arabic printed book, its right half lit warmly by a candle, its left half dissolving into swirling dark mist as if fading out of existence; through a small window behind, the silhouette of Venice's canals and bell towers at dusk. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",History of Information; Wikipedia Paganino Paganini
002,تحولت مدينة البندقية إلى أكبر مركز طباعة في أوروبا كلها.,Venice as Europe's dominant printing capital: scale and density of the printing industry.,"a wide interior view of many active Renaissance printing presses working simultaneously in one large hall, stacks of finished books, workers at different stations",single generic printer at one press; generic old city street with no presses,"Wide interior view of a large Venetian printing hall, sixteenth century: half a dozen wooden screw presses being operated in parallel by different workers, tall stacks of finished bound books along the walls, trays of metal type, sunlight through high windows illuminating dust and ink fumes. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9","Yale University Library exhibition, Printing History in the Arabic-Speaking World; general Venice printing history"
003,البندقية... جمهورية تجارية، ترتبط بعلاقات تجارية وثيقة مع الدولة العثمانية... السفن البندقية كانت ترسو في موانئ إسطنبول والإسكندرية,Venice's commercial ties to the Ottoman world via maritime trade — the market context for the idea.,"Venetian merchant galley ships at a Mediterranean harbor with a mix of European and Ottoman-style port architecture, cargo of crates/bales being loaded, a map or globe suggesting trade routes",generic mosque; generic crowd scene,"Wide harbor scene at a Venetian trading dock: a merchant galley being loaded with crates and bales under Venetian flags, in the background domes and minarets suggesting an Ottoman port skyline across the water, a large nautical chart with a Venice-to-Istanbul trade route drawn on it in the foreground. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",General Venice-Ottoman trade history
004,هنا يظهر اسم الطابع بَاغانينو باغانيني... اشتهر بطباعة أعمال علمية دقيقة، من بينها كتب الرياضي الشهير لوكا باتشولي. بالاشتراك مع ابنه أليساندرو باغانيني، قرر باغانيني مشروعاً غير مسبوق,"Introduce Paganino and Alessandro Paganini as real historical printers, established through their known prior scientific/mathematical printing work.","an older master printer (Paganino) and a younger printer (Alessandro) standing together at a composing table, an open mathematical/geometric book (Pacioli-style diagrams) visible nearby as evidence of their prior work, a folded plan/sketch for the new Qur'an project on the table",unnamed generic printer; no evidence of prior body of work,"Portrait-composition shot inside a Venetian print shop: an older bearded master printer and a younger printer stand at a composing table examining a folded sheet of plans together; on the table beside them an open book showing geometric diagrams in the style of Pacioli's mathematical works, signaling their established reputation before this new project. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Wikipedia Paganino Paganini; History of Information
005,لم يكن هذا مجرد كتاب آخر... كان مقامرة تقنية وتجارية... فالخط العربي... لم يكن يشبه إطلاقاً الأبجدية اللاتينية,The core technical contrast: Arabic connected script versus the Latin alphabet the press was built for.,side-by-side visual contrast on one worktable: a tray of separate Latin metal type blocks next to an open Arabic manuscript showing flowing connected calligraphy,generic worried printer alone with no comparison object,"Close worktable shot: on the left, a wooden type-case tray filled with separate rectangular Latin metal letter blocks laid in neat rows; on the right, an open handwritten Arabic manuscript page showing flowing connected calligraphy; a printer's hand rests between the two, visibly comparing them, an oil lamp casting hard directional light across the contrast. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9","American Printing History Association, Challenges of Early Arabic Letterpress Printing"
006,في العربية، فالحرف الواحد قد يأخذ حتى أربعة أشكال مختلفة... يجب أن تتصل ببعضها بصرياً وكأنها خط يد واحد متدفق,The specific technical mechanism: one Arabic letter has up to four positional forms that must visually connect.,"a diagram-like arrangement of one Arabic letter shown in four different positional forms as individual small cast-metal type pieces, laid out in a row for comparison, a printer's hand pointing",vague Arabic-looking scribbles; no clear multiple-form comparison,"Extreme close-up on a printer's workbench: four small individual cast-metal Arabic type pieces are laid in a row, each showing a visibly different shape of the same connecting letter (isolated, initial, medial, final form), a printer's hand with an engraving tool pointing between them, a reference handwritten Arabic line curling above for comparison. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",American Printing History Association; Yale Library exhibition on Arabic printing
007,كان على صانعي الحروف أن يصمموا مئات القوالب المعدنية المختلفة... أي خطأ بسيط في المحاذاة، وتتكسر انسيابية الخط العربي أمام عين القارئ,The visible technical failure mode: misaligned metal type breaking the flowing look of Arabic on a printed proof sheet.,"a printed Arabic proof sheet on the press showing visibly broken/disconnected letterforms in places, next to hundreds of small Arabic type pieces in a type case, a printer frowning at the flawed sheet",printer looking generically worried with no visible flawed text; unrelated blank page,"Close shot on a proof sheet fresh off the press: printed Arabic-style text where several letters visibly fail to connect smoothly, gaps and misaligned baselines breaking the flowing line; beside the sheet, an open wooden type case packed with hundreds of tiny distinct Arabic metal type pieces; the printer's finger traces the broken join with a troubled expression. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9","American Printing History Association, Challenges of Early Arabic Letterpress Printing"
008,دقة كل كلمة وكل حركة إعرابية في القرآن ليست تفصيلاً شكلياً، بل جوهر النص ذاته. طابع يعمل بلغة ليست لغته الأم، يخاطر بارتكاب أخطاء,"The stakes: textual precision is the essence of the Qur'an, and a non-native printer risks disqualifying errors.","a printer's hand carefully placing a tiny diacritical mark type-piece above a line of Arabic type, magnifying lens nearby, an open reference Qur'an manuscript for comparison",generic religious iconography; unrelated mosque exterior,"Intense close-up: a printer's hand uses tweezers to place one tiny diacritical-mark type piece precisely above a line of set Arabic type, a magnifying lens resting beside the press for this exact task, an open handwritten reference Qur'an manuscript propped up alongside for comparison, candlelight emphasizing the tension of the moment. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",General scholarship on Qur'anic textual precision; History of Information on the surviving copy's errors
009,وفقاً للسجلات الببليوغرافية... طُبعت هذه النسخة... بين صيف عام 1537 وصيف عام 1538. لأول مرة في التاريخ، خرج من مطبعة أوروبية قرآن كامل بالعربية,"The completed edition: the first complete Arabic Qur'an printed in Europe with movable type, with the dated colophon.","the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style, held up freshly bound in the print shop, a printed colophon page open showing a date-like inscription, stacks of identical finished copies behind",unrelated abstract calendar graphic; generic stack of blank books,"Triumphant medium shot inside the print shop: the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style, held open by Alessandro Paganini to its final printed colophon page bearing a dated inscription in Arabic-style type; behind him, a neat stack of several identical finished bound copies on a shelf, warm evening light. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",History of Information; Wikipedia Paganino Paganini; Madain Project
010,حين فحص الباحثون لاحقاً النسخة الوحيدة... النص مليء بالأخطاء... يصعب العثور على صفحة واحدة سليمة تماماً,Forward-looking scholarly finding: the surviving copy is riddled with errors on nearly every page.,"a modern scholar's hands examining an open page of the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style under a desk lamp, many small red pencil annotation marks/circles indicating errors scattered across the visible printed page",clean unmarked page; generic old book close-up with no error markings,"Close overhead shot of a scholar's hands examining an open page of the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style under a desk lamp with a magnifying glass; faint circular annotation marks in red pencil dot the page wherever printing errors appear, clustered densely across nearly the whole visible page. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9","History of Information, summarizing Angela Nuovo's philological findings"
